Visual Name,Publisher,GUID,Latest Version,Is Certified,Popularity,Risk Level,Risk Score,Author Findings,Library Findings,Dynamic Code (Author),Network Access (Author),DOM Manipulation (Author),Sensitive Access (Author),Informational (Author),Web Access Permission,Export Content Permission,Local Storage Permission,AAD Auth Permission,External JS Count,Detected Libraries,API Version,Has GPL License,Versions Scanned,Findings Resolved in Latest
Zebra BI Cards,Zebra BI,zebraBiCards2C860CFAA9944091B75F0DBD117F20FA,7.4.2.115,True,0.976,High,26,19,32,0,0,18,0,1,False,True,True,False,0,jQuery; Leaflet; Quill; Globalize,5.10.0,False,8,0
Radar Chart by Clear Peaks,CLEAR PEAKS SL,radarChart,1.5.4.2,False,0.975,High,51,46,8,3,0,15,0,28,False,False,False,False,0,ECharts,5.2.0,False,4,0
Radar Chart by MAQ Software,MAQ LLC,radarChart5F59D098BB90499F8C33EBEBCEE4FEBF,4.4.0.0,True,0.975,High,45,17,4,1,0,10,1,5,False,False,False,False,0,Globalize,5.7.0,False,3,0
Sankey Diagram by ChartExpo,polyvista.com,SankeyDiagramforPowerBICertifiedbyChartExpo116316f40989457aa791c76496d0e3c6,1.0.0.9,True,0.975,High,18,10,0,0,0,3,0,7,False,True,True,False,0,d3.js; Leaflet,5.10.0,False,3,0
Bar Chart With Top N Selection,Office Solution AI Labs,BarChartWithTopN,1.0.0.2,False,0.974,High,64,17,5,2,1,10,0,4,False,False,False,False,0,,3.2.0,False,2,0
Box and Whisker (Pro),PBIVizEdit.com,boxandwhiskerwithpoints3B3DF5C11B683E5DB4E630DD7899B035,5.2.1.0,True,0.974,High,53,28,1,2,0,12,0,14,False,False,False,False,0,jQuery; Leaflet; Plotly.js; Globalize; TopToJSON / TopoJSON,5.3.0,False,4,0
Funnel Chart by Powerviz,TRUVIZ INC,FunnelChartA96234ADB8D143D1837FEC426BB34781,1.0.0.7,True,0.974,High,67,114,30,6,1,52,1,54,False,False,False,False,0,React; Leaflet; ag-Grid; Bootstrap; jsrsasign; Quill; Globalize,5.11.0,False,2,1
Ultimate KPI Card,dataviz.boutique GmbH,kpifree51D0292A0438427096AC459B59FEF2DE,4.8.7.2,True,0.974,High,53,22,2,0,3,16,0,3,False,False,False,False,0,jQuery; PowerBI Visuals Utils; Globalize,5.3.0,False,4,0
Acterys Gantt for Project Management,Managility,aPGantt2DC486E54199414B99CB7E9D403FD90C,1.1.9.3,False,0.973,High,102,65,4,3,4,49,0,9,True,True,False,True,0,jQuery; Moment.js; Leaflet; Globalize; DevExtreme,5.10.0,False,5,0
Box Ploty by Devlup Funnels,Devlup Funnels,boxPloty6C987A9E682A4A859272BFEC966AF372,1.0.0.0,False,0.973,High,73,44,6,2,2,12,0,28,False,False,False,False,0,jQuery; Leaflet; Mapbox GL JS; Plotly.js; TopToJSON / TopoJSON,5.3.0,False,2,0
Google Maps for Power BI,Dynamica Labs LTD,googleMapsPbiVisual2982D2C8868A4D07BE77AE3D0F9F87C3,1.3.6.4,False,0.973,High,31,6,4,2,0,1,0,3,True,False,True,False,0,,5.8.0,False,4,0
Linear Gauge - xViz,xViz LLC dba Lumel,linearGauge2EBA8C0A99F94BF297BCCB1CF5427E68,3.0.1.0,True,0.973,High,100,28,39,3,3,12,0,10,False,True,False,False,0,jQuery; Highcharts; Leaflet; Globalize; Chart.js,5.4.0,False,1,0
Network Graph by Powerviz,TRUVIZ INC,networkGraphA96234ADB8D143D1837FEC426BB34781,1.0.0.2,True,0.973,High,77,102,18,5,1,46,1,49,False,True,True,False,0,React; Leaflet; ag-Grid; Bootstrap; jsrsasign; Globalize,5.11.0,False,2,0
Timeline by Queryon,Queryon,timelineByQueryon2DD9A171C1CB4B148AA3DD23CEF5B2F9,1.0.7.1,True,0.973,High,39,15,6,2,0,9,1,3,False,False,False,False,0,Globalize,5.10.0,False,2,0
Custom Filter by Dunboxed,Dunboxed,multifilterF4E665C057974D93BE652CF6781B928D,1.0.0.7,True,0.972,High,15,3,0,0,0,3,0,0,False,False,False,False,0,,5.10.0,False,4,0
Hierarchy Chart by MAQ Software,MAQ LLC,hierarchyChartDD06406DD55C47CCBB412EFE9A671D14,4.0.1.0,True,0.972,High,65,22,4,2,1,13,1,5,False,False,False,False,0,Globalize,5.1.0,False,2,0
PieChart by iFour,iFour Technolab Pvt. Ltd.,Piechart1FB7F15A3B454007B4569186335A40B8E,1.0.0.3,False,0.972,High,56,9,0,1,4,3,0,1,False,False,False,False,0,Leaflet; Globalize,5.11.0,False,4,0
p6-gantt-chart-visual,Abdalla Dabes,p6GanttChartVisual23D4F5A6B7C8D9E0F1A2B3C4D5E6F7A8,1.0.1.1,True,0.972,None,0,0,1,0,0,0,0,0,False,False,False,False,0,,5.11.0,False,4,1
Calendar by Tallan,"Tallan, Inc",CalendarVisualA45056645E4E428B9D26EF971839A6B5,2.0.2.0,True,0.971,High,58,15,0,2,2,3,0,8,False,False,False,False,5,d3.js; Leaflet,2.3.0,False,2,0
